id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,से,"[{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1322},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3765}]",488,PREPOSITION,PERFECT,,
2,ने,"[{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1254},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3765}]",297,VERB,PERFECT,,
3,कहा,"[{""sounds"":[""k"",""ə""],""id"":27,""letters"":[""क""],""usageCount"":473},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2860},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3003}]",113,VERB,PHONEMIC,,
4,क्या,"[{""sounds"":[""k""],""id"":77,""letters"":[""क"",""्""],""usageCount"":160},{""sounds"":[""j""],""id"":56,""letters"":[""य""],""usageCount"":497},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3003}]",153,,PERFECT,,
5,सकते,"[{""sounds"":[""s"",""ə""],""id"":33,""letters"":[""स""],""usageCount"":293},{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2726},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1131},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3765}]",50,VERB,PERFECT,,
6,ये,"[{""sounds"":[""j""],""id"":56,""letters"":[""य""],""usageCount"":497},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3765}]",32,,PERFECT,,
7,दादी,"[{""sounds"":[""d""],""id"":41,""letters"":[""द""],""usageCount"":460},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3003},{""sounds"":[""d""],""id"":41,""letters"":[""द""],""usageCount"":460},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2126}]",6,NOUN,PERFECT,,
8,भी,"[{""sounds"":[""bʱ""],""id"":26,""letters"":[""भ""],""usageCount"":326},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2126}]",182,,PERFECT,,
9,था,"[{""sounds"":[""tʰ""],""id"":17,""letters"":[""थ""],""usageCount"":465},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3003}]",162,VERB,PERFECT,,
10,कर,"[{""sounds"":[""k"",""ə""],""id"":27,""letters"":[""क""],""usageCount"":473},{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1739}]",162,NOUN,,,
11,एक,"[{""sounds"":[""eː""],""id"":55,""letters"":[""ए""],""usageCount"":491},{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2726}]",268,NUMBER,PERFECT,,
